      0             5                                          
 [1,] "(28.9,32.2]" "-0.0112994841189734;0.000191477105139057" 
 [2,] "(32.2,35.5]" "0.00150947295698126;0.000123452226443535" 
 [3,] "(35.5,38.8]" "-0.00254585295177884;0.000202410195724072"
 [4,] "(38.8,42.1]" "-0.00813683633316742;0.000286359912581325"
 [5,] "(42.1,45.4]" "-0.0035969176711912;0.000222099910376546" 
 [6,] "(45.4,48.7]" "-0.00480751235033065;0.000278141321301343"
 [7,] "(48.7,52]"   "-0.00405735607282096;0.000243888229388129"
 [8,] "(52,55.3]"   "-0.00270594984721956;0.000244943106218833"
 [9,] "(55.3,58.6]" "-0.00184569346478968;0.000192747722836359"
[10,] "(58.6,61.9]" "-0.00244059358960215;0.000159626366118462"
[11,] "(61.9,65.2]" "-0.00304129665370408;0.000136473468822709"
[12,] "(65.2,68.5]" "-0.00322779850446304;0.000121099299505528"
[13,] "(68.5,71.8]" "-0.00361740482356165;0.00011280901755136" 
[14,] "(71.8,75.1]" "-0.00516057651882443;9.99056443861611e-05"
[15,] "(75.1,78.4]" "-0.00413527343967408;9.97715879529323e-05"
[16,] "(78.4,81.7]" "-0.00478724845995156;0.000101630792990638"
[17,] "(81.7,85]"   "-0.00621591866709202;9.55118383836528e-05"
[18,] "(85,88.3]"   "-0.0067426788764232;9.7313394556334e-05"  
[19,] "(88.3,91.6]" "-0.0087423439174823;8.48989432397296e-05" 
[20,] "(91.6,94.9]" "0.00954347689783625;0.000754818951748131" 
      10                                         
 [1,] "-0.00168286533840925;0.00023360051177492" 
 [2,] "0.0130837309057342;8.1454735435472e-05"   
 [3,] "0.00703874035370846;0.000344952564358947" 
 [4,] "0.00424208654283612;0.000349161527017939" 
 [5,] "0.00878620943956168;0.000369843272600186" 
 [6,] "0.00551652367848159;0.000370114025770191" 
 [7,] "0.0069665553693952;0.000351132015337464"  
 [8,] "0.00864772042569371;0.000392172010221861" 
 [9,] "0.0088479074370194;0.000314632933918042"  
[10,] "0.00702620356809491;0.000254560767219515" 
[11,] "0.003533596998747;0.000195731351173078"   
[12,] "0.00297558602629679;0.00016020441011416"  
[13,] "0.00271932145812265;0.000140202861952276" 
[14,] "0.00190420432249291;0.000128462956784745" 
[15,] "0.00349937535742951;0.000136410314295436" 
[16,] "0.00299716381038746;0.00016005424158212"  
[17,] "0.00100185165755158;0.000169295345162006" 
[18,] "6.64720151570006e-05;0.000190752627477548"
[19,] "-0.00310302767162628;0.000134243697866164"
[20,] "0.0185560106424714;0.000299009973832149"  
      15                                          
 [1,] "-0.000493758096526499;0.000653992154087966"
 [2,] "0.0217426495785318;0.000710569677571655"   
 [3,] "0.00697758367197293;0.000351472279248278"  
 [4,] "0.00415682687419374;0.000310570524801476"  
 [5,] "0.00876748083247157;0.000294019744797361"  
 [6,] "0.00670948892810191;0.000316019375475126"  
 [7,] "0.00747065163877687;0.000328414913794995"  
 [8,] "0.00767140501992965;0.000322893625700485"  
 [9,] "0.00893574529647769;0.000309794752911716"  
[10,] "0.0080129920650659;0.000265439246955816"   
[11,] "0.00615579277626116;0.000232475855903934"  
[12,] "0.00602014659358757;0.000202365756885486"  
[13,] "0.00648517126065694;0.00018646745440647"   
[14,] "0.00415978937360489;0.000171747077876063"  
[15,] "0.00432043474934655;0.000167270662509908"  
[16,] "0.00357884769653642;0.000166691575557943"  
[17,] "0.00102255851448445;0.000173836145516063"  
[18,] "-0.000697562744564308;0.000202904261041229"
[19,] "-0.00194482099502039;0.000250708662493779" 
[20,] "0.0215474449235322;0.00132963843458849"    
      20                                        
 [1,] "0.00169624750204091;0.000322066415203194"
 [2,] "0.0224095784442633;0.000335424984874428" 
 [3,] "0.0131974650054391;0.000625620357116605" 
 [4,] "0.0132698068791587;0.000742965155852249" 
 [5,] "0.0209396995264369;0.000574997304153236" 
 [6,] "0.0196283775002357;0.000678498710036171" 
 [7,] "0.0202300688793188;0.000623907379042077" 
 [8,] "0.0215996161570467;0.00054748947830759"  
 [9,] "0.0220523087013629;0.00052925636466856"  
[10,] "0.0162028668833961;0.000378431693144951" 
[11,] "0.0123647101334863;0.000290942732389025" 
[12,] "0.0124938585867666;0.000254275799062989" 
